"Factor","Species","Method","Data accession","Pubmed ID","Binding sites"
"NUDT21","Human","PAR-CLIP","GSE37401;GSM917661","22813749","NUDT21"
"NUDT21","Human","PAR-CLIP","GSE37401;GSM917662","22813749","NUDT21"
"PAB1","Yeast","HITS-CLIP","GSE46742;GSM1137787","23993093","PAB1"
"Pab1","Yeast","PAR-CLIP","GSE59676;GSM1442553","25192364","Pab1"
"PABPC1","Mouse","HITS-CLIP","GSE69755;GSM1708286","26554031","PABPC1"
"PABPC1","Mouse","HITS-CLIP","GSE69755;GSM1708284","26554031","PABPC1"
"PABPC1","Mouse","HITS-CLIP","GSE69755;GSM1708285","26554031","PABPC1"
"PAP2","Yeast","HITS-CLIP","GSE46742;GSM1137718","23993093","PAP2"
"PAT1","Yeast","HITS-CLIP","GSE46142;GSM1124962","23222640","PAT1"
"PAT1","Yeast","HITS-CLIP","GSE46142;GSM1124963","23222640","PAT1"
"PEP","Fly","PAR-CLIP","GSE78237;GSM2070054","27197210","PEP"
"PEP","Fly","PAR-CLIP","GSE78237;GSM2070055","27197210","PEP"
"PEP","Fly","PAR-CLIP","GSE78237;GSM2070056","27197210","PEP"
"PEP","Fly","PAR-CLIP","GSE78237;GSM2070057","27197210","PEP"
"PTBP1","Mouse","HITS-CLIP","E-MTAB-414;ERR039255,ERR039256","22355723","PTBP1"
"PTBP1","Human","iCLIP","GSE57278;GSM1486178","25219497","PTBP1"
"PTBP1","Human","iCLIP","GSE57278;GSM1486177","25219497","PTBP1"
"PTBP1","Human","PAR-iCLIP","GSE57278;GSM1378377","25219497","PTBP1"
"PTBP1/PTBP2","Human","HITS-CLIP","GSE19323;GSM480476","20064465","PTBP1/PTBP2"
"PTBP1/PTBP2","Human","HITS-CLIP","GSE19323;GSM480477","20064465","PTBP1/PTBP2"
"PTBP1/PTBP2","Human","HITS-CLIP","GSE19323;GSM480478","20064465","PTBP1/PTBP2"
"PTBP1/PTBP2","Human","HITS-CLIP","GSE19323;GSM480479","20064465","PTBP1/PTBP2"
"PTBP1/PTBP2","Human","HITS-CLIP","GSE42701;GSM1048186","20064465","PTBP1/PTBP2"
"Pub1","Yeast","PAR-CLIP","GSE59676;GSM1442554","25192364","Pub1"
"PUM2","Human","PAR-CLIP","GSE21578;GSM545210","20371350","PUM2"
"QKI","Human","PAR-CLIP","GSE21578;GSM545211","20371350","QKI"
"QKI","Worm","PAR-CLIP","GSE33543;GSM829554","22152485","QKI"
"QKI","Worm","PAR-CLIP","GSE33543;GSM829555","22152485","QKI"
"QKI","Worm","PAR-CLIP","GSE33543;GSM829556","22152485","QKI"
"QKI","Worm","PAR-CLIP","GSE33543;GSM829557","22152485","QKI"
"RBFOX1","Mouse","HITS-CLIP","SRX355539;SRX355539","24213538","RBFOX1"
"RBFOX1","Mouse","HITS-CLIP","SRX426153;SRX426153","24613350","RBFOX1"
"RBFOX1","Mouse","HITS-CLIP","SRX426154;SRX426154","24613350","RBFOX1"
"RBFOX1","Mouse","HITS-CLIP","SRX426155;SRX426155","24613350","RBFOX1"
"RBFOX1","Mouse","HITS-CLIP","SRX426156;SRX426156","24613350","RBFOX1"
"RBFOX2","Human","HITS-CLIP","NA","19136955","RBFOX2"
"RBFOX2","Human","HITS-CLIP","NA","19136955","RBFOX2"
"RBFOX2","Mouse","HITS-CLIP","SRX355540;SRX355540","24213538","RBFOX2"
"RBFOX2","Mouse","HITS-CLIP","SRX426157;SRX426157","24613350","RBFOX2"
"RBFOX2","Mouse","HITS-CLIP","SRX426158;SRX426158","24613350","RBFOX2"
"RBFOX2","Mouse","HITS-CLIP","SRX426159;SRX426159","24613350","RBFOX2"
"RBFOX2","Mouse","HITS-CLIP","SRX426160;SRX426160","24613350","RBFOX2"
"RBFOX2","Mouse","iCLIP","GSE54794;GSM1324105","24637117","RBFOX2"
"RBFOX2","Mouse","iCLIP","GSE54794;GSM1324104","24637117","RBFOX2"
"RBFOX3","Mouse","HITS-CLIP","SRX426161;SRX426161","24613350","RBFOX3"
"RBFOX3","Mouse","HITS-CLIP","SRX426162;SRX426162","24613350","RBFOX3"
"RBFOX3","Mouse","HITS-CLIP","SRX426163;SRX426163","24613350","RBFOX3"
"RBFOX3","Mouse","HITS-CLIP","SRX426164;SRX426164","24613350","RBFOX3"
"RBFOX3","Mouse","HITS-CLIP","SRX426165;SRX426165","24613350","RBFOX3"
"RBFOX3","Mouse","PAR-CLIP","SRX375262;SRX375262","25240799","RBFOX3"
"RBM10","Human","HITS-CLIP","GSE44976;GSM1095143","24000153","RBM10"
"RBM10","Human","HITS-CLIP","GSE44976;GSM1095142","24000153","RBM10"
"RBM3","Mouse","PAR-CLIP","GSE40468;GSM994703","23792593","RBM3"
"RBM47","Human","HITS-CLIP","GSE58380;GSM1409656","24898756","RBM47"
"RBM47","Human","HITS-CLIP","GSE58380;GSM1409655","24898756","RBM47"
"Rna15","Yeast","PAR-CLIP","GSE59676;GSM1442555","25192364","Rna15"
"RPB2","Yeast","PAR-CLIP","GSE31764;GSM791765","21954178","RPB2"
"RTCB","Human","PAR-CLIP","GSE38201;GSM936508","22681889","RTCB"
"SBP1","Yeast","HITS-CLIP","GSE46142;GSM1124964","23222640","SBP1"
"SBP1","Yeast","HITS-CLIP","GSE46142;GSM1124965","23222640","SBP1"
"SEN1","Yeast","PAR-CLIP","GSE31764;GSM791763","21954178","SEN1"
"SF1","Human","HITS-CLIP","NA","21062807","SF1"
"SKI2","Yeast","HITS-CLIP","GSE46742;GSM1137768","23993093","SKI2"
"SKI2","Yeast","HITS-CLIP","GSE46742;GSM1137773","23993093","SKI2"
"SKI2","Yeast","HITS-CLIP","GSE46742;GSM1178908","23993093","SKI2"
"SKI2","Yeast","HITS-CLIP","GSE46742;GSM1178909","23993093","SKI2"
"Snp1","Yeast","PAR-CLIP","GSE59676;GSM1442556","25192364","Snp1"
"SRRM4","Human","iCLIP","GSE57278;GSM1486179","25219497","SRRM4"
"SRRM4","Human","PAR-iCLIP","GSE57278;GSM1378376","25219497","SRRM4"
"SRRM4","Human","PAR-iCLIP","GSE57278;GSM1378375","25219497","SRRM4"
"SRRM4","Human","PAR-iCLIP","GSE57278;GSM1378374","24954906","SRRM4"
"SRRM4","Mouse","iCLIP","GSE57278;GSM1486174","25219497","SRRM4"
"SRRM4","Mouse","PAR-iCLIP","GSE57278;GSM1486175","25219497","SRRM4"
"SRRM4","Mouse","PAR-iCLIP","GSE57278;GSM1486176","25219497","SRRM4"
"SRSF1","Human","HITS-CLIP","NA","19116412","SRSF1"
"SRSF1","Mouse","HITS-CLIP","GSE44591;GSM1088390","23562324","SRSF1"
"SRSF2","Mouse","HITS-CLIP","GSE44591;GSM1088391","23562324","SRSF2"
"SRSF3","Mouse","iCLIP","E-MTAB-747;ERR039836","22436691","SRSF3"
"SRSF3","Mouse","iCLIP","E-MTAB-747;ERR039837","22436691","SRSF3"
"SRSF3","Mouse","iCLIP","E-MTAB-747;ERR039838","22436691","SRSF3"
"SRSF4","Mouse","iCLIP","E-MTAB-747;ERR039839","22436691","SRSF4"
"SRSF4","Mouse","iCLIP","E-MTAB-747;ERR039840","22436691","SRSF4"
"SRSF4","Mouse","iCLIP","E-MTAB-747;ERR039841","22436691","SRSF4"
"STO1","Yeast","HITS-CLIP","GSE46742;GSM1137753","23993093","STO1"
"STO1","Yeast","HITS-CLIP","GSE46742;GSM1137760","23993093","STO1"
"STO1","Yeast","HITS-CLIP","GSE46742;GSM1137776","23993093","STO1"
"Sub2","Yeast","PAR-CLIP","GSE59676;GSM1442557","25192364","Sub2"
"TAF15","Human","HITS-CLIP","GSE43294;GSM1060205","23416048","TAF15"
"TAF15","Human","HITS-CLIP","GSE43294;GSM1060206","23416048","TAF15"
"TAF15","Human","HITS-CLIP","GSE43294;GSM1060207","23416048","TAF15"
"TAF15","Human","HITS-CLIP","GSE43294;GSM1060208","23416048","TAF15"
"TAF15","Human","HITS-CLIP","GSE43294;GSM1060209","23416048","TAF15"
"TAF15","Human","PAR-CLIP","SRX029345;SRX029345","22081015","TAF15"
"TAF15","Human","PAR-CLIP","SRX029346;SRX029346","22081015","TAF15"
"TAF15","Mouse","HITS-CLIP","GSE43294;GSM1060210","23416048","TAF15"
"TAF15","Mouse","HITS-CLIP","GSE43294;GSM1060211","23416048","TAF15"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039842","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039843","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039844","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039845","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039846","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039847,ERR039848","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039849","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039850","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039851,ERR039852","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039853","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039854","21358640","TARDBP"
"TARDBP","Human","iCLIP","E-MTAB-530;ERR039855","21358640","TARDBP"
"TARDBP","Mouse","iCLIP","E-MTAB-1223;ERR208895","22934129","TARDBP"
"TARDBP","Mouse","iCLIP","E-MTAB-1223;ERR208896","22934129","TARDBP"
"TARDBP","Mouse","iCLIP","E-MTAB-1223;ERR208900","22934129","TARDBP"
"TARDBP","Mouse","HITS-CLIP","GSE27394;GSM672062","21358643","TARDBP"
"TARDBP","Mouse","HITS-CLIP","GSE27394;GSM672063","21358643","TARDBP"
"TARDBP","Mouse","HITS-CLIP","GSE40653;GSM998871","23023293","TARDBP"
"TARDBP","Human","PAR-CLIP","DRA001158;DRS012385","24954906","TARDBP"
"TARDBP","Human","PAR-CLIP","DRA001158;DRS012386","24954906","TARDBP"
"TARDBP","Human","PAR-CLIP","DRA001158;DRS012387","24954906","TARDBP"
"THO2","Yeast","HITS-CLIP","GSE46742;GSM1137766","23993093","THO2"
"Tho2","Yeast","PAR-CLIP","GSE59676;GSM1442558","25192364","Tho2"
"TIA1","Human","iCLIP","E-MTAB-432;ERR039774,ERR039775,ERR039777","21048981","TIA1"
"TIA1","Human","iCLIP","E-MTAB-432;ERR039776,ERR039778","21048981","TIA1"
"TIA1","Human","iCLIP","E-MTAB-432;ERR039786,ERR039787","21048981","TIA1"
"TIF1","Yeast","HITS-CLIP","GSE46742;GSM1137733","23993093","TIF1"
"TNRC6A","Human","PAR-CLIP","GSE21578;GSM545218","20371350","TNRC6A"
"TNRC6B","Human","PAR-CLIP","GSE21578;GSM545219","20371350","TNRC6B"
"TNRC6C","Human","PAR-CLIP","GSE21578;GSM545220","20371350","TNRC6C"
"TRA2B","Mouse","HITS-CLIP","NA","22194695","TRA2B"
"U2AF2","Mouse","iCLIP","E-MTAB-1223;ERR208893","22934129","U2AF2"
"U2AF2","Mouse","iCLIP","E-MTAB-1223;ERR208897","22934129","U2AF2"
"U2AF2","Mouse","PAR-iCLIP","GSE57278;GSM1378379","25219497","U2AF2"
"UPF1","Mouse","HITS-CLIP","GSE41785;GSM1024301","23766421","UPF1"
"UPF1","Mouse","HITS-CLIP","GSE41785;GSM1024302","23766421","UPF1"
"UPF1","Mouse","HITS-CLIP","GSE41785;GSM1024303","23766421","UPF1"
"UPF1","Mouse","HITS-CLIP","GSE41785;GSM1024304","23766421","UPF1"
"UPF1","Mouse","HITS-CLIP","GSE41785;GSM1024305","23766421","UPF1"
"WDR33","Human","PAR-CLIP","GSE61123;GSM1496985","25301781","WDR33"
"XRN1","Yeast","HITS-CLIP","GSE46742;GSM1137725","23993093","XRN1"
"Yra1","Yeast","PAR-CLIP","GSE59676;GSM1442559","25192364","Yra1"
"Yth1","Yeast","PAR-CLIP","GSE59676;GSM1442560","25192364","Yth1"
"YTHDF2","Human","PAR-CLIP","GSE49339;GSM1197605","24284625","YTHDF2"
"YTHDF2","Human","PAR-CLIP","GSE49339;GSM1197606","24284625","YTHDF2"
"YTHDF2","Human","PAR-CLIP","GSE49339;GSM1197607","24284625","YTHDF2"
"ZC3H7B","Human","PAR-CLIP","GSE38201;GSM936510","22681889","ZC3H7B"
